current_path,current_relation,current_layer,current_grain,current_owner,current_consumers,current_materialization,current_tests,target_action,target_relation,target_layer,target_interface,compatibility_method,synthetic_source_family,route_c_value,evidence_status,notes
raw/ci/users.parquet,users,raw,one row per user,platform,stg_users,parquet,0,preserve,raw.users,raw,none,not_required,none,medium,verified-local,Customer entity later derivable from application events; batch table retained for non-event consumers
raw/ci/transactions.parquet,transactions,raw,one row per transaction,platform,stg_transactions,parquet,0,preserve,raw.transactions,raw,none,not_required,none,medium,verified-local,First-funding signal will also exist as account-funded events; full history stays batch context
raw/ci/sessions.parquet,sessions,raw,one row per session,platform,stg_sessions,parquet,0,preserve,raw.sessions,raw,none,not_required,none,low,verified-local,Engagement context outside the event boundary
raw/ci/feature_events.parquet,feature_events,raw,one row per feature event,platform,stg_feature_events,parquet,0,preserve,raw.feature_events,raw,none,not_required,none,low,verified-local,Feature adoption context outside the event boundary
raw/ci/support_contacts.parquet,support_contacts,raw,one row per support contact,platform,stg_support_contacts,parquet,0,migrate,lnd_customer_outcome_events,landing,warehouse_health,compatibility_view,customer_outcome,medium,verified-local,Outcome guardrail signals become customer-outcome-recorded events
raw/ci/referrals.parquet,referrals,raw,one row per referral,platform,stg_referrals,parquet,0,migrate,lnd_referral_events,landing,referral_economics,compatibility_view,referral_reward,high,verified-local,Core Route C family; invitation/qualification/reward lifecycle becomes events
raw/ci/region_daily_signups.parquet,region_daily_signups,raw,one row per region-day,platform,stg_region_daily_signups,parquet,0,preserve,raw.region_daily_signups,raw,none,not_required,none,medium,verified-local,Geo DiD input retained as batch aggregate
raw/ci/pricing_offer_catalog.parquet,pricing_offer_catalog,raw,one row per offer,platform,stg_pricing_offer_catalog,parquet,0,preserve,raw.pricing_offer_catalog,raw,none,not_required,none,medium,verified-local,Pricing governance is a preserved consumer domain outside the event boundary
raw/ci/pricing_exposures.parquet,pricing_exposures,raw,one row per exposure,platform,stg_pricing_exposures,parquet,0,preserve,raw.pricing_exposures,raw,none,not_required,none,medium,verified-local,Preserved consumer domain
raw/ci/pricing_outcomes.parquet,pricing_outcomes,raw,one row per exposure outcome,platform,stg_pricing_outcomes,parquet,0,preserve,raw.pricing_outcomes,raw,none,not_required,none,medium,verified-local,Preserved consumer domain
raw/ci/experiment_assignments.parquet,experiment_assignments,raw,one row per user-experiment,platform,stg_experiment_assignments,parquet,0,migrate,lnd_experiment_events,landing,growth_acquisition,compatibility_view,experiment,high,verified-local,Assignments become experiment-assigned events
raw/ci/experiment_ground_truth.parquet,experiment_ground_truth,raw,one row per experiment,platform,stg_experiment_ground_truth,parquet,0,preserve,raw.experiment_ground_truth,raw,none,not_required,none,high,verified-local,Method-validation truth; analogous role to Route C truth manifests; never an analysis input (non-circularity tested)
raw/ci/activation_ground_truth.parquet,activation_ground_truth,raw,one row per user,platform,stg_activation_ground_truth,parquet,0,preserve,raw.activation_ground_truth,raw,none,not_required,none,high,verified-local,Method-validation truth; never an analysis input (non-circularity tested)
raw/ci/wellbeing_proxies.parquet,wellbeing_proxies,raw,one row per user,platform,stg_wellbeing_proxies,parquet,0,preserve,raw.wellbeing_proxies,raw,none,not_required,none,high,verified-local,Guardrail attributes with executable use boundaries; outside the event boundary
raw/ci/onboarding_events.parquet,onboarding_events,raw,one row per onboarding event,platform,stg_onboarding_events,parquet,0,migrate,lnd_application_events,landing,growth_acquisition,compatibility_view,application_kyc_account,high,verified-local,Onboarding funnel becomes application/KYC/account lifecycle events
raw/ci/protection_events.parquet,protection_events,raw,one row per protection event,platform,stg_protection_events,parquet,0,preserve,raw.protection_events,raw,none,not_required,none,medium,verified-local,Supportive protection simulation retained as batch context
dbt_neobank/models/staging/stg_users.sql,stg_users,staging,one row per user,growth,int_user_activation; fct_activation; dashboards,view,5,preserve,stg_users,staging,none,not_required,none,medium,verified-local,Retained batch staging; customer entity may later be served by nrm_account_current with a compatibility route
dbt_neobank/models/staging/stg_transactions.sql,stg_transactions,staging,one row per transaction,growth,int_user_first_transaction; fct_retention_cohorts,view,4,preserve,stg_transactions,staging,none,not_required,none,medium,verified-local,Retained batch staging
dbt_neobank/models/staging/stg_sessions.sql,stg_sessions,staging,one row per session,growth,int_user_weekly_activity,view,3,preserve,stg_sessions,staging,none,not_required,none,low,verified-local,Retained batch staging
dbt_neobank/models/staging/stg_feature_events.sql,stg_feature_events,staging,one row per feature event,growth,fct_feature_adoption,view,3,preserve,stg_feature_events,staging,none,not_required,none,low,verified-local,Retained batch staging
dbt_neobank/models/staging/stg_support_contacts.sql,stg_support_contacts,staging,one row per support contact,growth,fct_customer_outcomes,view,2,migrate,nrm_customer_outcome_event,normalised,warehouse_health,compatibility_view,customer_outcome,medium,verified-local,Superseded by canonical customer-outcome events; compatibility view keeps the old relation name
dbt_neobank/models/staging/stg_referrals.sql,stg_referrals,staging,one row per referral,growth,fct_region_daily_referrals; geo DiD,view,2,migrate,nrm_referral_event,normalised,referral_economics,compatibility_view,referral_reward,high,verified-local,Core migration: referral lifecycle reconstructed from events with known truth
dbt_neobank/models/staging/stg_region_daily_signups.sql,stg_region_daily_signups,staging,one row per region-day,growth,fct_region_daily_signups,view,2,preserve,stg_region_daily_signups,staging,none,not_required,none,medium,verified-local,Geo aggregate retained
dbt_neobank/models/staging/stg_pricing_offer_catalog.sql,stg_pricing_offer_catalog,staging,one row per offer,pricing,pricing marts; API,view,3,preserve,stg_pricing_offer_catalog,staging,none,not_required,none,medium,verified-local,Preserved consumer domain
dbt_neobank/models/staging/stg_pricing_exposures.sql,stg_pricing_exposures,staging,one row per exposure,pricing,pricing marts,view,5,preserve,stg_pricing_exposures,staging,none,not_required,none,medium,verified-local,Preserved consumer domain
dbt_neobank/models/staging/stg_pricing_outcomes.sql,stg_pricing_outcomes,staging,one row per exposure outcome,pricing,pricing marts,view,3,preserve,stg_pricing_outcomes,staging,none,not_required,none,medium,verified-local,Preserved consumer domain
dbt_neobank/models/staging/stg_experiment_assignments.sql,stg_experiment_assignments,staging,one row per user-experiment,growth,fct_experiment_user_metrics,view,3,migrate,nrm_experiment_assignment,normalised,growth_acquisition,compatibility_view,experiment,high,verified-local,Assignment stability becomes testable against event truth
dbt_neobank/models/staging/stg_experiment_ground_truth.sql,stg_experiment_ground_truth,staging,one row per experiment,platform,method-validation tests,view,2,preserve,stg_experiment_ground_truth,staging,none,not_required,none,high,verified-local,Truth reference; excluded from analysis inputs by non-circularity tests
dbt_neobank/models/staging/stg_activation_ground_truth.sql,stg_activation_ground_truth,staging,one row per user,platform,method-validation tests,view,2,preserve,stg_activation_ground_truth,staging,none,not_required,none,high,verified-local,Truth reference; excluded from analysis inputs by non-circularity tests
dbt_neobank/models/staging/stg_wellbeing_proxies.sql,stg_wellbeing_proxies,staging,one row per user,governance,fct_customer_outcomes; RBAC views,view,3,preserve,stg_wellbeing_proxies,staging,none,not_required,none,high,verified-local,Guardrail attributes with executable use boundaries
dbt_neobank/models/staging/stg_onboarding_events.sql,stg_onboarding_events,staging,one row per onboarding event,growth,fct_onboarding_funnel,view,3,migrate,nrm_application_event,normalised,growth_acquisition,compatibility_view,application_kyc_account,high,verified-local,Funnel steps become canonical application lifecycle events
dbt_neobank/models/staging/stg_protection_events.sql,stg_protection_events,staging,one row per protection event,protection,fct_protection_events,view,3,preserve,stg_protection_events,staging,none,not_required,none,medium,verified-local,Supportive protection simulation retained
dbt_neobank/models/intermediate/int_user_activation.sql,int_user_activation,intermediate,one row per user,growth,fct_activation; activation model,table,2,migrate,lgl_growth_acquisition,logical,growth_acquisition,compatibility_view,activation_funding,high,verified-local,Activation state becomes governed logical interface derived from account events
dbt_neobank/models/intermediate/int_user_first_transaction.sql,int_user_first_transaction,intermediate,one row per user,growth,int_user_activation,table,3,migrate,nrm_account_event,normalised,growth_acquisition,compatibility_view,activation_funding,high,verified-local,First funding becomes the account-funded canonical event
dbt_neobank/models/intermediate/int_user_weekly_activity.sql,int_user_weekly_activity,intermediate,one row per user-week,growth,fct_weekly_engagement; fct_retention_cohorts,table,2,preserve,int_user_weekly_activity,intermediate,none,not_required,none,low,verified-local,Engagement rollup outside the event boundary
dbt_neobank/models/marts/experiments/dim_experiment.sql,dim_experiment,marts,one row per experiment,growth,Experiments tab; release engine,table,2,downstream_consumer,dim_experiment,presentation,growth_acquisition,not_required,experiment,medium,verified-local,Reads governed interfaces in Route C; no logic duplication permitted
dbt_neobank/models/marts/experiments/fct_experiment_user_metrics.sql,fct_experiment_user_metrics,marts,one row per user-experiment,growth,Experiments tab; release engine; fairness analysis,table,4,downstream_consumer,fct_experiment_user_metrics,presentation,growth_acquisition,not_required,experiment,high,verified-local,Existing experiment consumer must be servable entirely from governed interfaces (G0.4 anchor consumer)
dbt_neobank/models/marts/finance/fct_user_clv_proxy.sql,fct_user_clv_proxy,marts,one row per user,finance,Pricing tab; decision pack,table,3,preserve,fct_user_clv_proxy,marts,none,not_required,none,low,verified-local,Illustrative CLV proxy; explicitly not part of the bounded referral-reward Finance proof
dbt_neobank/models/marts/geo/fct_region_daily_referrals.sql,fct_region_daily_referrals,marts,one row per region-day,growth,geo DiD; synthetic control,table,3,downstream_consumer,fct_region_daily_referrals,presentation,referral_economics,not_required,referral_reward,high,verified-local,Geo incrementality consumer of the referral interface
dbt_neobank/models/marts/geo/fct_region_daily_signups.sql,fct_region_daily_signups,marts,one row per region-day,growth,geo DiD,table,3,downstream_consumer,fct_region_daily_signups,presentation,growth_acquisition,not_required,none,medium,verified-local,Geo signups consumer
dbt_neobank/models/marts/pricing/fct_offer_exposures.sql,fct_offer_exposures,marts,one row per exposure,pricing,Pricing tab; API,table,4,preserve,fct_offer_exposures,marts,none,not_required,none,medium,verified-local,Preserved consumer domain
dbt_neobank/models/marts/pricing/fct_pricing_outcomes.sql,fct_pricing_outcomes,marts,one row per exposure,pricing,Pricing tab; API,table,3,preserve,fct_pricing_outcomes,marts,none,not_required,none,medium,verified-local,Preserved consumer domain
dbt_neobank/models/marts/pricing/mart_pricing_recommendations.sql,mart_pricing_recommendations,marts,one row per offer,pricing,Pricing tab; fair-value governance; API,table,2,preserve,mart_pricing_recommendations,marts,none,not_required,none,medium,verified-local,Preserved consumer domain
dbt_neobank/models/marts/product/fct_activation.sql,fct_activation,marts,one row per user,growth,Product health tab; activation model; API scoring,table,4,migrate,prs_growth_acquisition,presentation,growth_acquisition,compatibility_view,activation_funding,high,verified-local,Core Growth path; old relation preserved as compatibility view until consumers verify
dbt_neobank/models/marts/product/fct_customer_outcomes.sql,fct_customer_outcomes,marts,one row per user,governance,Customer outcomes tab; release engine,table,4,migrate,prs_growth_acquisition,presentation,growth_acquisition,compatibility_view,customer_outcome,high,verified-local,Outcome guardrail joins canonical outcome events; compatibility view retains grain and columns
dbt_neobank/models/marts/product/fct_feature_adoption.sql,fct_feature_adoption,marts,one row per feature-week,growth,Product health tab,table,1,preserve,fct_feature_adoption,marts,none,not_required,none,low,verified-local,Engagement mart outside the event boundary
dbt_neobank/models/marts/product/fct_onboarding_funnel.sql,fct_onboarding_funnel,marts,one row per funnel step-segment,growth,Digital inclusion tab,table,4,migrate,lgl_growth_acquisition,logical,growth_acquisition,compatibility_view,application_kyc_account,high,verified-local,Funnel rebuilt from application events; inclusion tab keeps its contract via compatibility view
dbt_neobank/models/marts/product/fct_protection_events.sql,fct_protection_events,marts,one row per protection event,protection,Customer protection tab,table,3,preserve,fct_protection_events,marts,none,not_required,none,medium,verified-local,Supportive simulation consumer retained
dbt_neobank/models/marts/product/fct_retention_cohorts.sql,fct_retention_cohorts,marts,one row per signup-week and activity-week,growth,Product health tab,table,2,preserve,fct_retention_cohorts,marts,none,not_required,none,low,verified-local,Retention rollup outside the event boundary
dbt_neobank/models/marts/product/fct_weekly_engagement.sql,fct_weekly_engagement,marts,one row per week,growth,Product health tab,table,2,preserve,fct_weekly_engagement,marts,none,not_required,none,low,verified-local,Engagement rollup outside the event boundary
